timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz
1766547768.685618,-80.45,-0.95,-0.33,0.016113281,-0.005859375,0.985839844,-0.125,0.125,0,27,-40.3,17.4
1766547768.705179,-80.45,-0.9,-0.3,0.015136719,-0.005371094,0.985351563,-0.125,0,-0.0625,25.9,-43,19.8
1766547768.729127,-80.44,-0.95,-0.33,0.016113281,-0.005859375,0.985351563,-0.0625,0,0,26.5,-40.9,17.7
1766547768.747304,-80.43,-0.94,-0.27,0.016113281,-0.004882813,0.985839844,-0.0625,0.125,-0.0625,27.3,-42,18.4
1766547768.770528,-80.43,-0.95,-0.28,0.016113281,-0.005371094,0.987304688,-0.125,0.0625,0,28,-40.9,18.7
1766547768.7913458,-80.42,-0.97,-0.34,0.016601563,-0.005859375,0.987304688,-0.0625,0.125,0,26.1,-41.7,18
1766547768.8131058,-80.42,-0.98,-0.27,0.016601563,-0.005371094,0.985839844,-0.0625,0.0625,0,26.8,-42.9,17.7
1766547768.834441,-80.41,-0.99,-0.32,0.016113281,-0.005371094,0.986328125,-0.0625,0,0,27.9,-41.5,17.8
1766547768.8534348,-80.41,-0.95,-0.25,0.015625,-0.004882813,0.985839844,-0.0625,0.0625,-0.0625,25,-43.2,19.2
1766547768.878208,-80.42,-0.98,-0.27,0.017089844,-0.005859375,0.985351563,-0.0625,0,0,26.5,-41.7,17.7
1766547768.899301,-80.41,-0.9,-0.32,0.016113281,-0.005859375,0.984863281,-0.0625,0.125,0,25.2,-41.5,17.8
1766547768.920531,-80.41,-0.96,-0.21,0.017089844,-0.005371094,0.985839844,-0.0625,0,0,25,-40.2,19.2
1766547768.9405708,-80.4,-0.94,-0.26,0.016601563,-0.004882813,0.985351563,-0.1875,0.25,-0.125,25.9,-41.5,18.3
1766547768.9668758,-80.39,-0.97,-0.28,0.016601563,-0.005371094,0.985351563,-0.125,0,0,26.5,-40.9,17.7
1766547769,-80.39,-0.98,-0.32,0.016601563,-0.005371094,0.986328125,-0.0625,0.125,-0.0625,26.2,-41.8,17.4
1766547769.003668,-80.38,-0.95,-0.32,0.016113281,-0.005859375,0.985839844,-0.125,0.125,-0.0625,27.4,-41.8,16.6
1766547769.0270798,-80.37,-0.95,-0.27,0.016601563,-0.004882813,0.985351563,-0.0625,0,0,26.2,-41.1,18.6
1766547769.049842,-80.37,-0.94,-0.31,0.016113281,-0.005371094,0.985839844,-0.0625,0.1875,0,25.8,-42,18
1766547769.0694919,-80.36,-0.97,-0.29,0.017089844,-0.004882813,0.986816406,-0.125,0,0,26.1,-41.2,18.7
1766547769.090605,-80.36,-0.97,-0.28,0.016601563,-0.004882813,0.985839844,-0.125,0.125,0,26.1,-41.7,17.2
1766547769.111776,-80.36,-0.95,-0.31,0.016113281,-0.005371094,0.986328125,-0.125,0,0.0625,27.4,-41.5,19.8
1766547769.135154,-80.35,-0.95,-0.31,0.016113281,-0.005371094,0.985839844,-0.0625,0,0,27.4,-42.6,19
1766547769.154367,-80.36,-0.95,-0.33,0.016601563,-0.006347656,0.986328125,-0.1875,0,0,25.9,-41.5,17.1
1766547769.174747,-80.35,-0.93,-0.29,0.015625,-0.005371094,0.984375,-0.125,0.0625,-0.125,28,-42.4,17.7
1766547769.1977978,-80.35,-0.93,-0.26,0.015625,-0.004882813,0.986328125,0,0.0625,0,26.5,-42,18.4
1766547769.2186198,-80.34,-0.91,-0.32,0.016113281,-0.005859375,0.984863281,-0.125,0.1875,0,26.1,-42,17.7
1766547769.240554,-80.33,-0.9,-0.26,0.015136719,-0.004882813,0.986328125,-0.0625,0.0625,0,27.3,-41.2,18.4
1766547769.261188,-80.32,-0.93,-0.28,0.015625,-0.004882813,0.985351563,-0.0625,0.125,0,26.1,-41.2,18.4
1766547769.282392,-80.32,-0.92,-0.3,0.015625,-0.005371094,0.985839844,-0.125,0,0,26.1,-42,18
1766547769.303961,-80.31,-0.93,-0.21,0.016113281,-0.004394531,0.985839844,0,0.0625,-0.0625,26.8,-42,18.7
1766547769.324399,-80.3,-0.95,-0.28,0.016113281,-0.004882813,0.985839844,-0.125,0.0625,0,26.7,-42.6,18.3
1766547769.3462021,-80.29,-0.95,-0.32,0.016113281,-0.005859375,0.985839844,-0.125,0.0625,0,26.2,-41.8,19.3
1766547769.368064,-80.29,-0.93,-0.36,0.016113281,-0.006347656,0.984863281,-0.0625,0.0625,0,26.7,-42.6,19.8
1766547769,-80.29,-1,-0.28,0.016601563,-0.004882813,0.985351563,-0.125,0,-0.0625,26.2,-41.8,18.3
1766547769.409597,-80.28,-0.94,-0.34,0.015625,-0.006347656,0.985839844,-0.125,0.1875,0,26.2,-40.8,18.6
1766547769.430584,-80.28,-0.88,-0.27,0.015136719,-0.004882813,0.985839844,-0.0625,0,0,27.9,-42.6,18.3
1766547769.455076,-80.29,-0.87,-0.25,0.015625,-0.005371094,0.985839844,-0.0625,0.0625,0.0625,26.2,-42.3,17.8
1766547769.472353,-80.28,-0.9,-0.28,0.016113281,-0.005371094,0.985839844,-0.125,0.125,-0.0625,25.5,-41.5,17.4
1766547769,-80.27,-0.93,-0.22,0.016113281,-0.004882813,0.985839844,-0.0625,0,0,27.4,-43,16.6
1766547769.517368,-80.26,-0.95,-0.27,0.016113281,-0.004882813,0.985351563,-0.0625,0.125,0,27,-41.8,18.3
1766547769.535934,-80.26,-0.9,-0.3,0.015136719,-0.005371094,0.985351563,-0.0625,0.125,-0.0625,25.5,-41.5,17.1
1766547769.559935,-80.25,-0.92,-0.25,0.016113281,-0.004882813,0.986328125,-0.0625,0.0625,0.0625,27.4,-42.3,17.1
1766547769.579117,-80.24,-0.93,-0.3,0.015625,-0.005371094,0.985351563,-0.0625,0,-0.0625,26.2,-41.8,17.4
1766547769.602559,-80.23,-0.92,-0.29,0.015625,-0.005371094,0.986328125,-0.125,0.1875,0,25.9,-41.8,17.4
1766547769.624725,-80.23,-0.93,-0.29,0.015625,-0.004882813,0.985351563,0,0.125,0,27,-41.1,18.3
1766547769.6442811,-80.22,-0.98,-0.31,0.016601563,-0.005371094,0.985839844,0,0,0,25.8,-40.9,18
1766547769.664316,-80.22,-0.87,-0.28,0.015136719,-0.005371094,0.985351563,-0.0625,0,-0.0625,26.5,-43.6,17.7
1766547769.685397,-80.21,-0.94,-0.32,0.016113281,-0.005371094,0.986328125,-0.125,0.0625,-0.0625,26.8,-42,16.9
1766547769.706049,-80.21,-0.94,-0.34,0.016113281,-0.005859375,0.985839844,-0.125,0.125,-0.125,26.2,-43,17.8
1766547769.7290308,-80.21,-0.98,-0.26,0.016601563,-0.005371094,0.984863281,-0.125,0.125,0,26.2,-42.6,18.3
1766547769.752449,-80.22,-0.95,-0.29,0.016113281,-0.005859375,0.985351563,-0.0625,0,0,26.2,-41.1,18.6
1766547769.773022,-80.21,-0.9,-0.29,0.015625,-0.005371094,0.985351563,-0.0625,0.0625,0,27.9,-41.5,17.4
1766547769.794202,-80.21,-0.95,-0.25,0.016113281,-0.004882813,0.985351563,-0.1875,0,0,26.8,-40.9,18.7
1766547769.814649,-80.2,-0.98,-0.29,0.016601563,-0.005371094,0.986816406,-0.125,0.0625,0,27,-40.3,19
1766547769.8365922,-80.19,-0.95,-0.29,0.016113281,-0.005371094,0.986816406,-0.125,0.125,0,26.2,-42.6,16.6
1766547769.858253,-80.18,-0.93,-0.3,0.015625,-0.005371094,0.985839844,-0.0625,0.1875,0,27,-40.3,17.8
1766547769.879292,-80.18,-0.94,-0.27,0.016113281,-0.005371094,0.984863281,0,0.0625,-0.0625,26.7,-42.6,17.8
1766547769.9002938,-80.17,-0.94,-0.31,0.016113281,-0.005371094,0.986816406,-0.0625,0,0,27.3,-42.4,17.2
1766547769.9220521,-80.16,-0.95,-0.27,0.016113281,-0.004882813,0.985839844,-0.0625,0.0625,0.0625,27.3,-42.4,18
